feature,importance
6m_avg_claims,0.5014994
avg_claim,0.11442036
unique_service_groups,0.08104005
claim_amount_diff_mean,0.06159979
average_ov_x,0.031695694
claim_frequency,0.027939027
days_since_last_claim,0.026141485
days_since_prev_claim_mean,0.02481264
TotPaymentUSD_sum,0.023754535
service_type_diversity,0.018564025
3m_avg_claims,0.016501231
PolicyEndDate_day_cos,0.015679045
monthly_claim_sum,0.012609953
PolicyStartDate_day_sin,0.0110265985
std_claim,0.008499745
max_claim,0.0059253103
Questionnaire_smoke_x,0.0037797503
BMI_x,0.0026068457
TotPaymentUSD_median,0.0024764612
PolicyStartDate_weekofyear_cos,0.0024622388
unique_months_with_claims,0.0014590134
PolicyStartDate_dayofweek,0.00090187637
claim_count,0.00085448835
Age_x,0.00055302965
days_since_prev_claim_std,0.0004714858
DateOfBirth_day_sin,0.00046995832
PolicyID_x,0.000297013
unique_service_types,0.00024051749
DateOfBirth_weekofyear_cos,0.00019339928
Questionnaire_relatives_x,0.00018977764
PolicyEndDate_weekofyear_sin,0.00017563351
days_since_PolicyStartDate_start,0.00017072806
PolicyEndDate_day_sin,0.00015930308
PolicyEndDate_weekofyear_cos,0.00014861113
ServiceType_pct_amount_Medication,0.00013288716
average_ob_x,0.00012679218
total_claims_x,0.00010068028
days_since_PolicyEndDate_start,7.9780446e-05
days_since_prev_claim_median,7.744833e-05
DateOfBirth_day_cos,5.7623594e-05
PolicyDuration_x,2.9973377e-05
history_years,2.6805868e-05
PolicyStartDate_weekofyear_sin,1.4548221e-05
DateOfBirth_day,1.1222155e-05
ServiceType_pct_amount_Therapy,7.224754e-06
DateOfBirth_month_sin,3.4061882e-06
ServiceType_pct_amount_Imaging,3.093566e-06
DateOfBirth_weekofyear_sin,2.161009e-06
DateOfBirth_month_cos,1.7183062e-06
claim_regularity,1.5609495e-06
TotPaymentUSD_mean,1.0268068e-06
days_since_prev_claim_min,7.3152563e-07
TotPaymentUSD_min,5.921084e-07
PolicyEndDate_month,2.848641e-07
average_us_x,2.5374217e-07
PolicyStartDate_day_cos,2.483573e-07
days_since_prev_claim_max,2.0305771e-07
DateOfBirth_dayofweek_sin,1.8164708e-07
claim_amount_pct_change_mean,1.5412527e-07
avg_claim_per_month,8.776239e-08
ServiceType_pct_count_Medication,7.5460825e-08
PolicyEndDate_quarter_cos,6.555019e-08
claim_amount_volatility,5.63757e-08
PolicyEndDate_month_cos,3.7204465e-08
service_concentration_hhi,1.0702186e-08
DateOfBirth_dayofweek_cos,6.9237736e-09
PolicyEndDate_month_sin,5.2225295e-09
PolicyStartDate_month,5.096161e-09
PolicyEndDate_day,2.2860929e-09
ServiceType_pct_count_Therapy,1.4329936e-09
uw_pct_x,1.3249889e-09
DateOfBirth_month,3.5145237e-10
ServiceType_pct_count_Consultation,2.6516855e-10
PolicyEndDate_dayofweek_sin,7.760154e-11
DateOfBirth_dayofweek,6.116946e-11
monthly_claim_count,2.5585747e-11
PolicyEndDate_dayofweek,2.3978092e-11
ServiceType_pct_amount_Consultation,1.6664257e-11
Questionnaire_diabetes_x,2.4530846e-12
ServiceType_pct_amount_Lab,8.5082424e-13
RiskScore_x,4.693755e-13
Questionnaire_alcoholism_x,2.5540933e-13
PolicyStartDate_dayofweek_cos,8.6869985e-14
PolicyStartDate_quarter_cos,3.9765785e-14
PolicyStartDate_month_cos,2.9599773e-14
Questionnaire_tumor_y,0.0
Questionnaire_liver_y,0.0
Questionnaire_thyroid_y,0.0
Questionnaire_respiratory_y,0.0
days_since_first_claim,0.0
Questionnaire_immune_y,0.0
total_claims_y,0.0
Questionnaire_drink_y,0.0
Questionnaire_relatives_y,0.0
Questionnaire_alcoholism_y,0.0
Questionnaire_heart_y,0.0
uw_pct_y,0.0
average_us_y,0.0
DateOfBirth_is_quarter_end_cos,0.0
DateOfBirth_is_quarter_end_sin,0.0
DateOfBirth_is_quarter_start_cos,0.0
DateOfBirth_is_quarter_start_sin,0.0
DateOfBirth_quarter_cos,0.0
Questionnaire_diabetes_y,0.0
PolicyEndDate_quarter,0.0
Questionnaire_smoke_y,0.0
Questionnaire_liver_x,0.0
ServiceType_pct_count_Surgery,0.0
ServiceType_pct_count_Lab,0.0
ServiceType_pct_count_Imaging,0.0
Questionnaire_cancer_x,0.0
ServiceType_pct_amount_Surgery,0.0
Questionnaire_heart_x,0.0
Questionnaire_respiratory_x,0.0
service_group_diversity,0.0
Questionnaire_thyroid_x,0.0
Questionnaire_immune_x,0.0
Questionnaire_cancer_y,0.0
Questionnaire_tumor_x,0.0
claim_amount_pct_change_std,0.0
Questionnaire_drink_x,0.0
claim_amount_diff_std,0.0
TotPaymentUSD_max,0.0
PolicyEndDate_is_quarter_end_cos,0.0
TotPaymentUSD_std,0.0
PolicyID_y,0.0
BMI_y,0.0
DateOfBirth_quarter_sin,0.0
average_ov_y,0.0
PolicyEndDate_is_quarter_end_sin,0.0
days_since_DateOfBirth_start,0.0
PolicyEndDate_is_month_end_sin,0.0
PolicyEndDate_is_month_start_cos,0.0
PolicyEndDate_is_month_start_sin,0.0
PolicyStartDate_is_quarter_start,0.0
PolicyStartDate_is_quarter_end,0.0
PolicyStartDate_is_month_end_cos,0.0
PolicyStartDate_is_month_end_sin,0.0
PolicyStartDate_is_month_start_cos,0.0
PolicyEndDate_year,0.0
PolicyStartDate_month_sin,0.0
DateOfBirth_is_quarter_end,0.0
PolicyEndDate_is_quarter_start_cos,0.0
DateOfBirth_is_quarter_start,0.0
DateOfBirth_is_month_end,0.0
DateOfBirth_is_month_start,0.0
DateOfBirth_quarter,0.0
DateOfBirth_is_weekend,0.0
DateOfBirth_year,0.0
PolicyEndDate_is_weekend,0.0
PolicyEndDate_is_quarter_end,0.0
PolicyEndDate_is_quarter_start,0.0
PolicyEndDate_is_month_end,0.0
PolicyEndDate_is_month_end_cos,0.0
PolicyStartDate_is_month_end,0.0
PolicyStartDate_is_month_start,0.0
DateOfBirth_is_month_start_sin,0.0
PolicyEndDate_is_quarter_start_sin,0.0
PolicyEndDate_is_month_start,0.0
PolicyEndDate_quarter_sin,0.0
PolicyStartDate_is_quarter_end_cos,0.0
PolicyStartDate_is_quarter_end_sin,0.0
PolicyStartDate_is_quarter_start_cos,0.0
PolicyStartDate_is_quarter_start_sin,0.0
PolicyStartDate_quarter_sin,0.0
average_ob_y,0.0
Age_y,0.0
PolicyDuration_y,0.0
RiskScore_y,0.0
PolicyEndDate_dayofweek_cos,0.0
PolicyStartDate_year,0.0
PolicyStartDate_day,0.0
PolicyStartDate_dayofweek_sin,0.0
PolicyStartDate_is_weekend,0.0
PolicyStartDate_quarter,0.0
DateOfBirth_is_month_end_cos,0.0
DateOfBirth_is_month_end_sin,0.0
DateOfBirth_is_month_start_cos,0.0
PolicyStartDate_is_month_start_sin,0.0
